gerrit_project,top_level_project,category,confidence,gerrit_state,maintained,has_ci,discovered_by
.github,.github,runtime,medium,ACTIVE,,,gerrit
All-Projects,All-Projects,runtime,medium,ACTIVE,,,gerrit
All-Users,All-Users,runtime,medium,ACTIVE,,,gerrit
aai,aai,runtime,medium,ACTIVE,,,gerrit
aai/aai-common,aai,runtime,high,ACTIVE,,,oom;gerrit
aai/babel,aai,runtime,high,ACTIVE,,,oom;gerrit
aai/graphadmin,aai,runtime,high,ACTIVE,,,oom;gerrit
aai/graphgraph,aai,runtime,medium,ACTIVE,,,gerrit
aai/logging-service,aai,runtime,medium,ACTIVE,,,gerrit
aai/model-loader,aai,runtime,high,ACTIVE,,,oom;gerrit
aai/oom,aai,runtime,medium,ACTIVE,,,gerrit
aai/resources,aai,runtime,high,ACTIVE,,,oom;gerrit
aai/rest-client,aai,runtime,medium,ACTIVE,,,gerrit
aai/schema-service,aai,runtime,high,ACTIVE,,,oom;gerrit
aai/sparky-be,aai,runtime,high,ACTIVE,,,oom;gerrit
aai/sparky-fe,aai,runtime,medium,ACTIVE,,,gerrit
aai/test-config,aai,runtime,medium,ACTIVE,,,gerrit
aai/traversal,aai,runtime,high,ACTIVE,,,oom;gerrit
ccsdk,ccsdk,runtime,medium,ACTIVE,,,gerrit
ccsdk/apps,ccsdk,runtime,high,ACTIVE,,,oom;gerrit
ccsdk/cds,ccsdk,runtime,high,ACTIVE,,,oom;gerrit
ccsdk/distribution,ccsdk,runtime,high,ACTIVE,,,oom;gerrit
ccsdk/features,ccsdk,runtime,medium,ACTIVE,,,gerrit
ccsdk/oran,ccsdk,runtime,high,ACTIVE,,,oom;gerrit
ccsdk/parent,ccsdk,runtime,medium,ACTIVE,,,gerrit
ccsdk/sli,ccsdk,runtime,medium,ACTIVE,,,gerrit
ci-management,ci-management,runtime,medium,ACTIVE,,,gerrit
cps,cps,runtime,high,ACTIVE,,,oom;gerrit
cps/ncmp-dmi-plugin,cps,runtime,high,ACTIVE,,,oom;gerrit
dcaegen2,dcaegen2,runtime,medium,ACTIVE,,,gerrit
dcaegen2/analytics/tca-gen2,dcaegen2,runtime,medium,ACTIVE,,,gerrit
dcaegen2/collectors/datafile,dcaegen2,runtime,medium,ACTIVE,,,gerrit
dcaegen2/collectors/hv-ves,dcaegen2,runtime,high,ACTIVE,,,oom;gerrit
dcaegen2/collectors/restconf,dcaegen2,runtime,medium,ACTIVE,,,gerrit
dcaegen2/collectors/snmptrap,dcaegen2,runtime,medium,ACTIVE,,,gerrit
dcaegen2/collectors/ves,dcaegen2,runtime,high,ACTIVE,,,oom;gerrit
dcaegen2/deployments,dcaegen2,runtime,high,ACTIVE,,,oom;gerrit
dcaegen2/platform/ves-openapi-manager,dcaegen2,runtime,high,ACTIVE,,,oom;gerrit
dcaegen2/services,dcaegen2,runtime,high,ACTIVE,,,oom;gerrit
dcaegen2/services/heartbeat,dcaegen2,runtime,medium,ACTIVE,,,gerrit
dcaegen2/services/mapper,dcaegen2,runtime,medium,ACTIVE,,,gerrit
dcaegen2/services/pm-mapper,dcaegen2,runtime,medium,ACTIVE,,,gerrit
dcaegen2/services/prh,dcaegen2,runtime,high,ACTIVE,,,oom;gerrit
dcaegen2/services/sdk,dcaegen2,runtime,medium,ACTIVE,,,gerrit
dcaegen2/services/son-handler,dcaegen2,runtime,medium,ACTIVE,,,gerrit
dcaegen2/utils,dcaegen2,runtime,medium,ACTIVE,,,gerrit
demo,demo,runtime,medium,ACTIVE,,,gerrit
dmaap,dmaap,runtime,medium,ACTIVE,,,gerrit
dmaap/buscontroller,dmaap,runtime,medium,ACTIVE,,,gerrit
dmaap/datarouter,dmaap,runtime,medium,ACTIVE,,,gerrit
dmaap/kafka11aaf,dmaap,runtime,medium,ACTIVE,,,gerrit
doc,doc,runtime,medium,ACTIVE,,,gerrit
doc/doc-best-practice,doc,runtime,medium,ACTIVE,,,gerrit
holmes,holmes,runtime,medium,ACTIVE,,,gerrit
integration,integration,runtime,medium,ACTIVE,,,gerrit
integration/csit,integration,runtime,medium,ACTIVE,,,gerrit
integration/data-provider,integration,runtime,medium,ACTIVE,,,gerrit
integration/docker/onap-java11,integration,runtime,medium,ACTIVE,,,gerrit
integration/docker/onap-python,integration,runtime,medium,ACTIVE,,,gerrit
integration/gating,integration,runtime,medium,ACTIVE,,,gerrit
integration/ietf-actn-tools,integration,runtime,medium,ACTIVE,,,gerrit
integration/onap-component-simulators,integration,runtime,medium,ACTIVE,,,gerrit
integration/pipelines/build-integration,integration,runtime,medium,ACTIVE,,,gerrit
integration/pipelines/chained-ci,integration,runtime,medium,ACTIVE,,,gerrit
integration/pipelines/oom-automatic-installation,integration,runtime,medium,ACTIVE,,,gerrit
integration/pipelines/xtesting-onap,integration,runtime,medium,ACTIVE,,,gerrit
integration/python-onapsdk,integration,runtime,medium,ACTIVE,,,gerrit
integration/seccom,integration,runtime,medium,ACTIVE,,,gerrit
integration/simulators/5G-core-nf-simulator,integration,runtime,medium,ACTIVE,,,gerrit
integration/simulators/A1-policy-enforcement-simulator,integration,runtime,medium,ACTIVE,,,gerrit
integration/simulators/core-nssmf-simulator,integration,runtime,medium,ACTIVE,,,gerrit
integration/simulators/nf-simulator,integration,runtime,medium,ACTIVE,,,gerrit
integration/simulators/nf-simulator/avcn-manager,integration,runtime,medium,ACTIVE,,,gerrit
integration/simulators/nf-simulator/netconf-server,integration,runtime,medium,ACTIVE,,,gerrit
integration/simulators/nf-simulator/pm-https-server,integration,runtime,medium,ACTIVE,,,gerrit
integration/simulators/nf-simulator/ves-client,integration,runtime,medium,ACTIVE,,,gerrit
integration/simulators/pnf-simulator,integration,runtime,medium,ACTIVE,,,gerrit
integration/simulators/ran-app,integration,runtime,medium,ACTIVE,,,gerrit
integration/simulators/ran-nssmf-simulator,integration,runtime,medium,ACTIVE,,,gerrit
integration/simulators/ran-simulator,integration,runtime,medium,ACTIVE,,,gerrit
integration/usecases/A1-policy-enforcement,integration,runtime,medium,ACTIVE,,,gerrit
integration/usecases/A1-policy-enforcement-r-apps,integration,runtime,medium,ACTIVE,,,gerrit
integration/xtesting,integration,runtime,medium,ACTIVE,,,gerrit
logging-analytics,logging-analytics,runtime,medium,ACTIVE,,,gerrit
modeling/modelspec,modeling,runtime,medium,ACTIVE,,,gerrit
msb,msb,runtime,medium,ACTIVE,,,gerrit
msb/service-mesh,msb,runtime,medium,ACTIVE,,,gerrit
multicloud,multicloud,runtime,medium,ACTIVE,,,gerrit
multicloud/framework,multicloud,runtime,high,ACTIVE,,,oom;gerrit
multicloud/k8s,multicloud,runtime,high,ACTIVE,,,oom;gerrit
multicloud/openstack,multicloud,runtime,high,ACTIVE,,,oom;gerrit
multicloud/openstack/vmware,multicloud,runtime,medium,ACTIVE,,,gerrit
multicloud/openstack/windriver,multicloud,runtime,medium,ACTIVE,,,gerrit
music/prom,music,runtime,high,,,,oom
oom,oom,infrastructure,high,ACTIVE,,,oom;gerrit
oom/consul,oom,runtime,medium,ACTIVE,,,gerrit
oom/offline-installer,oom,runtime,medium,ACTIVE,,,gerrit
oom/platform/cert-manager,oom,runtime,medium,ACTIVE,,,gerrit
oom/platform/cert-service,oom,runtime,high,ACTIVE,,,oom;gerrit
oom/platform/keycloak,oom,runtime,medium,ACTIVE,,,gerrit
oom/readiness,oom,runtime,medium,ACTIVE,,,gerrit
oom/registrator,oom,runtime,medium,ACTIVE,,,gerrit
oom/utils,oom,runtime,medium,ACTIVE,,,gerrit
oparent,oparent,runtime,medium,ACTIVE,,,gerrit
oparent/cia,oparent,runtime,medium,ACTIVE,,,gerrit
osa,osa,runtime,medium,ACTIVE,,,gerrit
policy,policy,runtime,medium,ACTIVE,,,gerrit
policy/apex-pdp,policy,runtime,high,ACTIVE,,,oom;gerrit
policy/api,policy,runtime,high,ACTIVE,,,oom;gerrit
policy/clamp,policy,runtime,high,ACTIVE,,,oom;gerrit
policy/common,policy,runtime,medium,ACTIVE,,,gerrit
policy/distribution,policy,runtime,high,ACTIVE,,,oom;gerrit
policy/docker,policy,runtime,high,ACTIVE,,,oom;gerrit
policy/drools-applications,policy,runtime,medium,ACTIVE,,,gerrit
policy/drools-pdp,policy,runtime,high,ACTIVE,,,oom;gerrit
policy/models,policy,runtime,medium,ACTIVE,,,gerrit
policy/opa-pdp,policy,runtime,high,ACTIVE,,,oom;gerrit
policy/pap,policy,runtime,high,ACTIVE,,,oom;gerrit
policy/parent,policy,runtime,medium,ACTIVE,,,gerrit
policy/xacml-pdp,policy,runtime,high,ACTIVE,,,oom;gerrit
portal-ng,portal-ng,runtime,medium,ACTIVE,,,gerrit
portal-ng/bff,portal-ng,runtime,high,ACTIVE,,,oom;gerrit
portal-ng/e2e,portal-ng,runtime,medium,ACTIVE,,,gerrit
portal-ng/history,portal-ng,runtime,high,ACTIVE,,,oom;gerrit
portal-ng/preferences,portal-ng,runtime,high,ACTIVE,,,oom;gerrit
portal-ng/ui,portal-ng,runtime,high,ACTIVE,,,oom;gerrit
relman,relman,runtime,medium,ACTIVE,,,gerrit
sandbox-2,sandbox-2,runtime,medium,ACTIVE,,,gerrit
sandbox-3,sandbox-3,runtime,medium,ACTIVE,,,gerrit
sdc,sdc,runtime,high,ACTIVE,,,oom;gerrit
sdc/onap-ui-angular,sdc,runtime,medium,ACTIVE,,,gerrit
sdc/onap-ui-common,sdc,runtime,medium,ACTIVE,,,gerrit
sdc/sdc-be-common,sdc,runtime,medium,ACTIVE,,,gerrit
sdc/sdc-distribution-client,sdc,runtime,medium,ACTIVE,,,gerrit
sdc/sdc-docker-base,sdc,runtime,medium,ACTIVE,,,gerrit
sdc/sdc-helm-validator,sdc,runtime,high,ACTIVE,,,oom;gerrit
sdc/sdc-pubsub,sdc,runtime,medium,ACTIVE,,,gerrit
sdc/sdc-tosca,sdc,runtime,medium,ACTIVE,,,gerrit
sdc/sdc-workflow-designer,sdc,runtime,high,ACTIVE,,,oom;gerrit
sdnc,sdnc,runtime,medium,ACTIVE,,,gerrit
sdnc/apps,sdnc,runtime,medium,ACTIVE,,,gerrit
sdnc/northbound,sdnc,runtime,medium,ACTIVE,,,gerrit
sdnc/oam,sdnc,runtime,high,ACTIVE,,,oom;gerrit
so,so,runtime,high,ACTIVE,,,oom;gerrit
so/adapters/so-cnf-adapter,so,runtime,medium,ACTIVE,,,gerrit
so/adapters/so-etsi-sol003-adapter,so,runtime,high,ACTIVE,,,oom;gerrit
so/adapters/so-etsi-sol005-adapter,so,runtime,high,ACTIVE,,,oom;gerrit
so/adapters/so-nssmf-adapter,so,runtime,high,ACTIVE,,,oom;gerrit
so/adapters/so-oof-adapter,so,runtime,high,ACTIVE,,,oom;gerrit
so/chef-repo,so,runtime,medium,ACTIVE,,,gerrit
so/docker-config,so,runtime,medium,ACTIVE,,,gerrit
so/libs,so,runtime,medium,ACTIVE,,,gerrit
so/so-admin-cockpit,so,runtime,high,ACTIVE,,,oom;gerrit
so/so-config,so,runtime,medium,ACTIVE,,,gerrit
so/so-etsi-nfvo,so,runtime,medium,ACTIVE,,,gerrit
testsuite,testsuite,runtime,high,ACTIVE,,,oom;gerrit
testsuite/cds,testsuite,runtime,medium,ACTIVE,,,gerrit
testsuite/cds-mock-odl,testsuite,runtime,medium,ACTIVE,,,gerrit
testsuite/cds-mock-server,testsuite,runtime,medium,ACTIVE,,,gerrit
testsuite/cds-mock-ssh,testsuite,runtime,medium,ACTIVE,,,gerrit
testsuite/oom,testsuite,runtime,medium,ACTIVE,,,gerrit
testsuite/python-testing-utils,testsuite,runtime,medium,ACTIVE,,,gerrit
testsuite/pythonsdk-tests,testsuite,runtime,medium,ACTIVE,,,gerrit
testsuite/robot-utils,testsuite,runtime,medium,ACTIVE,,,gerrit
university,university,runtime,medium,ACTIVE,,,gerrit
usecase-ui,usecase-ui,runtime,high,ACTIVE,,,oom;gerrit
usecase-ui/intent-analysis,usecase-ui,runtime,high,ACTIVE,,,oom;gerrit
usecase-ui/llm-adaptation,usecase-ui,runtime,high,ACTIVE,,,oom;gerrit
usecase-ui/nlp,usecase-ui,runtime,high,ACTIVE,,,oom;gerrit
usecase-ui/server,usecase-ui,runtime,high,ACTIVE,,,oom;gerrit
vfc,vfc,runtime,medium,ACTIVE,,,gerrit
vfc/nfvo/db,vfc,runtime,medium,ACTIVE,,,gerrit
vnfrqts,vnfrqts,runtime,medium,ACTIVE,,,gerrit
vnfrqts/epics,vnfrqts,runtime,medium,ACTIVE,,,gerrit
vnfrqts/guidelines,vnfrqts,runtime,medium,ACTIVE,,,gerrit
vnfrqts/requirements,vnfrqts,runtime,medium,ACTIVE,,,gerrit
vnfrqts/testcases,vnfrqts,runtime,medium,ACTIVE,,,gerrit
vnfrqts/usecases,vnfrqts,runtime,medium,ACTIVE,,,gerrit
vnfsdk,vnfsdk,runtime,medium,ACTIVE,,,gerrit
vnfsdk/lctest,vnfsdk,runtime,medium,ACTIVE,,,gerrit
vnfsdk/model,vnfsdk,runtime,medium,ACTIVE,,,gerrit
vnfsdk/pkgtools,vnfsdk,runtime,medium,ACTIVE,,,gerrit
