gerrit_project,top_level_project,category,confidence,gerrit_state,in_current_release,maintained,has_ci,discovered_by
aai,aai,runtime,medium,ACTIVE,true,true,,gerrit;relman
aai/aai-common,aai,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
aai/babel,aai,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
aai/graphadmin,aai,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
aai/graphgraph,aai,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
aai/logging-service,aai,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
aai/model-loader,aai,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
aai/oom,aai,runtime,medium,ACTIVE,false,true,,gerrit;relman
aai/resources,aai,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
aai/rest-client,aai,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
aai/schema-service,aai,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
aai/sparky-be,aai,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
aai/sparky-fe,aai,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
aai/test-config,aai,runtime,medium,ACTIVE,true,true,,gerrit;relman
aai/traversal,aai,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
ccsdk,ccsdk,runtime,medium,ACTIVE,true,true,,gerrit;relman
ccsdk/apps,ccsdk,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
ccsdk/cds,ccsdk,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
ccsdk/distribution,ccsdk,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
ccsdk/features,ccsdk,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
ccsdk/oran,ccsdk,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
ccsdk/parent,ccsdk,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
ccsdk/platform/blueprints,ccsdk,runtime,medium,ACTIVE,false,true,,relman
ccsdk/sli,ccsdk,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
ccsdk/storage/esaas,ccsdk,runtime,medium,ACTIVE,false,true,,relman
cli,cli,runtime,medium,ACTIVE,false,true,,relman
cps,cps,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
cps/cps-tbdmt,cps,runtime,medium,ACTIVE,false,true,,relman
cps/cps-temporal,cps,runtime,medium,ACTIVE,false,true,,relman
cps/ncmp-dmi-plugin,cps,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
dcaegen2,dcaegen2,runtime,medium,ACTIVE,true,true,,gerrit;relman
dcaegen2/analytics/tca-gen2,dcaegen2,runtime,medium,ACTIVE,false,true,,gerrit;relman
dcaegen2/collectors/datafile,dcaegen2,runtime,medium,ACTIVE,false,true,,gerrit;relman
dcaegen2/collectors/hv-ves,dcaegen2,runtime,high,ACTIVE,true,true,,oom;gerrit;relman
dcaegen2/collectors/restconf,dcaegen2,runtime,medium,ACTIVE,false,true,,gerrit;relman
dcaegen2/collectors/snmptrap,dcaegen2,runtime,medium,ACTIVE,false,true,,gerrit;relman
dcaegen2/collectors/ves,dcaegen2,runtime,high,ACTIVE,true,true,,oom;gerrit;relman
dcaegen2/deployments,dcaegen2,runtime,high,ACTIVE,true,true,,oom;gerrit;relman
dcaegen2/platform,dcaegen2,runtime,medium,ACTIVE,true,true,true,relman;jjb
dcaegen2/platform/blueprints,dcaegen2,runtime,medium,ACTIVE,false,true,,relman
dcaegen2/platform/ves-openapi-manager,dcaegen2,runtime,high,ACTIVE,true,true,,oom;gerrit;relman
dcaegen2/services,dcaegen2,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
dcaegen2/services/heartbeat,dcaegen2,runtime,medium,ACTIVE,false,true,,gerrit;relman
dcaegen2/services/mapper,dcaegen2,runtime,medium,ACTIVE,false,true,,gerrit;relman
dcaegen2/services/pm-mapper,dcaegen2,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
dcaegen2/services/prh,dcaegen2,runtime,high,ACTIVE,true,true,,oom;gerrit;relman
dcaegen2/services/sdk,dcaegen2,runtime,medium,ACTIVE,false,true,,gerrit;relman
dcaegen2/services/son-handler,dcaegen2,runtime,medium,ACTIVE,false,true,,gerrit;relman
dcaegen2/utils,dcaegen2,runtime,medium,ACTIVE,false,true,,gerrit;relman
demo,demo,runtime,medium,ACTIVE,true,true,true,gerrit;relman;jjb
dmaap,dmaap,runtime,medium,ACTIVE,true,true,,gerrit;relman
dmaap/buscontroller,dmaap,runtime,medium,ACTIVE,false,true,,gerrit;relman
dmaap/datarouter,dmaap,runtime,high,ACTIVE,true,true,,oom;gerrit;relman
dmaap/kafka11aaf,dmaap,runtime,medium,ACTIVE,false,true,,gerrit;relman
dmaap/messagerouter/dmaapclient,dmaap,runtime,medium,ACTIVE,false,true,,relman
dmaap/messagerouter/messageservice,dmaap,runtime,medium,ACTIVE,false,true,,relman
dmaap/zookeeper,dmaap,runtime,medium,ACTIVE,false,true,,relman
doc,doc,runtime,medium,ACTIVE,false,true,,gerrit;relman
doc/doc-best-practice,doc,runtime,medium,ACTIVE,false,,,gerrit
holmes,holmes,runtime,medium,ACTIVE,true,true,,gerrit;relman
holmes/common,holmes,runtime,medium,ACTIVE,false,true,,relman
holmes/engine-management,holmes,runtime,medium,ACTIVE,false,true,,relman
holmes/rule-management,holmes,runtime,medium,ACTIVE,false,true,,relman
integration,integration,runtime,medium,ACTIVE,true,true,true,gerrit;relman;jjb
integration/csit,integration,runtime,medium,ACTIVE,false,true,,gerrit;relman
integration/data-provider,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/docker/onap-java11,integration,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
integration/docker/onap-python,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/gating,integration,runtime,medium,ACTIVE,false,,true,gerrit;jjb
integration/ietf-actn-tools,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/onap-component-simulators,integration,runtime,medium,ACTIVE,false,,true,gerrit;jjb
integration/pipelines/build-integration,integration,runtime,medium,ACTIVE,false,,,gerrit
integration/pipelines/chained-ci,integration,runtime,medium,ACTIVE,false,,,gerrit
integration/pipelines/oom-automatic-installation,integration,runtime,medium,ACTIVE,false,,,gerrit
integration/pipelines/xtesting-onap,integration,runtime,medium,ACTIVE,false,,,gerrit
integration/python-onapsdk,integration,runtime,medium,ACTIVE,false,,true,gerrit;jjb
integration/seccom,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/simulators/5G-core-nf-simulator,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/simulators/A1-policy-enforcement-simulator,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/simulators/core-nssmf-simulator,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/simulators/nf-simulator,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/simulators/nf-simulator/avcn-manager,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/simulators/nf-simulator/netconf-server,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/simulators/nf-simulator/pm-https-server,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/simulators/nf-simulator/ves-client,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/simulators/pnf-simulator,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/simulators/ran-app,integration,runtime,medium,ACTIVE,false,,,gerrit
integration/simulators/ran-nssmf-simulator,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/simulators/ran-simulator,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/usecases/A1-policy-enforcement,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/usecases/A1-policy-enforcement-r-apps,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
integration/xtesting,integration,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
modeling/etsicatalog,modeling,runtime,medium,ACTIVE,false,true,,relman
modeling/modelspec,modeling,runtime,medium,ACTIVE,false,true,,gerrit;relman
modeling/toscaparsers,modeling,runtime,medium,ACTIVE,false,true,,relman
msb,msb,runtime,medium,ACTIVE,false,true,,gerrit;relman
msb/apigateway,msb,runtime,medium,ACTIVE,false,true,true,relman;jjb
msb/discovery,msb,runtime,medium,ACTIVE,false,true,true,relman;jjb
msb/java-sdk,msb,runtime,medium,ACTIVE,false,true,true,relman;jjb
msb/service-mesh,msb,runtime,medium,ACTIVE,false,true,,gerrit;relman
msb/swagger-sdk,msb,runtime,medium,ACTIVE,false,true,true,relman;jjb
multicloud,multicloud,runtime,medium,ACTIVE,true,true,true,gerrit;relman;jjb
multicloud/framework,multicloud,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
multicloud/k8s,multicloud,runtime,high,ACTIVE,true,true,,oom;gerrit;relman
multicloud/openstack,multicloud,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
multicloud/openstack/vmware,multicloud,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
multicloud/openstack/windriver,multicloud,runtime,medium,ACTIVE,false,true,,gerrit;relman
oom,oom,infrastructure,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
oom/consul,oom,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
oom/offline-installer,oom,runtime,medium,ACTIVE,false,true,,gerrit;relman
oom/platform/cert-manager,oom,runtime,medium,ACTIVE,false,true,,gerrit;relman
oom/platform/cert-service,oom,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
oom/platform/keycloak,oom,runtime,medium,ACTIVE,false,true,,gerrit;relman
oom/readiness,oom,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
oom/registrator,oom,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
oom/utils,oom,runtime,medium,ACTIVE,false,true,,gerrit;relman
oparent,oparent,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
oparent/cia,oparent,runtime,medium,ACTIVE,false,true,,gerrit;relman
optf,optf,runtime,medium,ACTIVE,false,true,,relman
optf/has,optf,runtime,medium,ACTIVE,false,true,,relman
optf/osdf,optf,runtime,medium,ACTIVE,false,true,,relman
osa,osa,runtime,medium,ACTIVE,false,true,,gerrit;relman
policy,policy,runtime,medium,ACTIVE,true,true,,gerrit;relman
policy/apex-pdp,policy,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
policy/api,policy,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
policy/clamp,policy,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
policy/common,policy,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
policy/distribution,policy,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
policy/docker,policy,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
policy/drools-applications,policy,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
policy/drools-pdp,policy,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
policy/gui,policy,runtime,medium,ACTIVE,false,true,,relman
policy/models,policy,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
policy/opa-pdp,policy,runtime,high,ACTIVE,true,,,oom;gerrit
policy/pap,policy,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
policy/parent,policy,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
policy/xacml-pdp,policy,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
portal-ng,portal-ng,runtime,medium,ACTIVE,true,,,gerrit
portal-ng/bff,portal-ng,runtime,high,ACTIVE,true,,true,oom;gerrit;jjb
portal-ng/e2e,portal-ng,runtime,medium,ACTIVE,false,,,gerrit
portal-ng/history,portal-ng,runtime,high,ACTIVE,true,,true,oom;gerrit;jjb
portal-ng/preferences,portal-ng,runtime,high,ACTIVE,true,,true,oom;gerrit;jjb
portal-ng/ui,portal-ng,runtime,high,ACTIVE,true,,true,oom;gerrit;jjb
relman,relman,runtime,medium,ACTIVE,false,true,,gerrit;relman
sandbox-2,sandbox-2,runtime,medium,ACTIVE,false,true,,gerrit;relman
sandbox-3,sandbox-3,runtime,medium,ACTIVE,false,true,,gerrit;relman
sdc,sdc,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
sdc/onap-ui-angular,sdc,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
sdc/onap-ui-common,sdc,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
sdc/sdc-be-common,sdc,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
sdc/sdc-distribution-client,sdc,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
sdc/sdc-docker-base,sdc,runtime,medium,ACTIVE,false,true,,gerrit;relman
sdc/sdc-helm-validator,sdc,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
sdc/sdc-pubsub,sdc,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
sdc/sdc-tosca,sdc,runtime,medium,ACTIVE,false,true,true,gerrit;relman;jjb
sdc/sdc-workflow-designer,sdc,runtime,high,ACTIVE,true,true,true,oom;gerrit;relman;jjb
